,pts,pts,pts,pts,ast,ast,ast,ast,trb,trb,trb,trb,blk,blk,blk,blk
,mean,median,min,max,mean,median,min,max,mean,median,min,max,mean,median,min,max
season,,,,,,,,,,,,,,,,
1947,319.59,256.0,0.0,1754.0,32.61,22.0,0.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1948,303.78,253.0,0.0,1048.0,28.68,19.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1949,408.15,336.5,0.0,1698.0,94.36,77.5,0.0,342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1950,464.4,433.0,0.0,1865.0,114.33,100.0,0.0,414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1951,513.37,443.0,2.0,1932.0,126.68,119.0,0.0,510.0,285.24,228.0,2.0,1080.0,0.0,0.0,0.0,0.0
1952,505.41,489.0,2.0,1674.0,131.67,117.0,0.0,539.0,290.13,232.0,1.0,880.0,0.0,0.0,0.0,0.0
1953,482.06,396.0,1.0,1660.0,124.19,108.0,0.0,547.0,272.99,199.0,1.0,1338.0,0.0,0.0,0.0,0.0
1954,496.92,462.0,0.0,1759.0,126.92,109.0,0.0,518.0,294.58,225.0,0.0,1110.0,0.0,0.0,0.0,0.0
1955,530.01,442.0,1.0,2453.0,135.32,111.0,0.0,557.0,299.96,246.0,0.0,1085.0,0.0,0.0,0.0,0.0
1956,635.83,554.5,2.0,1914.0,158.34,135.0,1.0,642.0,353.12,273.5,3.0,1376.0,0.0,0.0,0.0,0.0
1957,600.02,522.0,0.0,1817.0,114.19,90.0,0.0,538.0,339.2,286.0,1.0,1256.0,0.0,0.0,0.0,0.0
1958,624.68,555.0,0.0,2001.0,114.1,97.0,0.0,463.0,366.64,295.0,0.0,1564.0,0.0,0.0,0.0,0.0
1959,691.04,605.0,0.0,2418.0,126.16,96.0,0.0,557.0,381.98,303.0,0.0,1612.0,0.0,0.0,0.0,0.0
1960,712.17,615.0,0.0,2707.0,137.17,111.0,0.0,715.0,401.66,346.0,0.0,1941.0,0.0,0.0,0.0,0.0
1961,812.19,660.0,6.0,3033.0,166.79,128.0,1.0,690.0,446.12,334.5,3.0,2149.0,0.0,0.0,0.0,0.0
1962,776.74,576.0,0.0,4029.0,158.1,114.0,0.0,899.0,404.3,329.0,0.0,2052.0,0.0,0.0,0.0,0.0
1963,720.12,655.0,2.0,3586.0,141.6,102.0,0.0,825.0,361.64,288.0,3.0,1946.0,0.0,0.0,0.0,0.0
1964,772.14,622.0,0.0,2948.0,150.4,113.0,0.0,868.0,397.54,283.0,0.0,1930.0,0.0,0.0,0.0,0.0
1965,743.9,618.5,5.0,5068.0,138.49,109.5,0.0,861.0,400.2,265.5,4.0,3346.0,0.0,0.0,0.0,0.0
1966,823.27,689.0,1.0,3640.0,161.32,111.0,0.0,847.0,430.95,314.0,0.0,2508.0,0.0,0.0,0.0,0.0
1967,770.2,676.0,12.0,2775.0,145.65,98.0,0.0,908.0,393.69,325.0,0.0,1957.0,0.0,0.0,0.0,0.0
1968,723.86,643.0,0.0,3436.0,125.32,92.0,0.0,760.0,360.87,273.0,0.0,2076.0,0.0,0.0,0.0,0.0
1969,801.68,670.0,0.0,3516.0,147.92,106.0,0.0,806.0,396.89,289.0,0.0,2202.0,0.0,0.0,0.0,0.0
1970,782.56,660.0,0.0,2584.0,153.93,111.0,0.0,683.0,370.54,274.0,0.0,1902.0,0.0,0.0,0.0,0.0
1971,798.67,677.0,0.0,3490.0,164.44,121.0,0.0,832.0,374.42,291.0,0.0,2170.0,0.0,0.0,0.0,0.0
1972,767.48,611.5,0.0,3876.0,158.72,105.0,0.0,1226.0,360.8,245.5,0.0,2102.0,1.13,0.0,0.0,422.0
1973,737.08,576.0,0.0,2719.0,165.58,127.0,0.0,910.0,341.3,262.0,0.0,1808.0,4.81,0.0,0.0,259.0
1974,729.17,601.0,0.0,2874.0,166.74,132.0,0.0,1114.0,330.55,245.0,0.0,1996.0,32.41,16.0,0.0,393.0
1975,711.42,595.0,0.0,3016.0,161.48,128.5,0.0,744.0,319.72,237.5,0.0,1810.0,30.05,15.0,0.0,258.0
1976,677.09,551.5,0.0,3438.0,147.01,112.5,0.0,774.0,312.46,223.0,0.0,1738.0,31.63,15.0,0.0,436.0
